Invoice_ID,Supplier_GSTIN,Buyer_GSTIN,Invoice_Amount,GST_As_Per_Supplier,GST_Claimed_By_Buyer,Return_Filed
INV001,GST1001,GST2001,50000,9000,9000,Yes
INV002,GST1002,GST2002,75000,13500,12000,Yes
INV003,GST1003,GST2003,40000,7200,7200,No
INV004,GST1004,GST2004,60000,10800,10800,Yes
INV005,GST1005,GST2005,90000,16200,18000,Yes
INV006,GST1006,GST2006,30000,5400,5400,Yes
INV007,GST1007,GST2007,120000,21600,21600,No
INV008,GST1008,GST2008,55000,9900,9900,Yes
INV009,GST1009,GST2009,70000,12600,10000,Yes
INV010,GST1010,GST2010,45000,8100,8100,Yes
